version_id,parent_agent_code,agent_group_code,biz_mix,two_wheeler_category,type_of_business,cpan_prct,rto_cluster,rto_code,gross_vehicle_weight_ll,gross_vehicle_weight_ul,cubic_capacity_ll,cubic_capacity_ul,cpan_outgo,body_type,fuel_type,ncb_ll,ncb_ul,vehicle_age_ll,vehicle_age_ul,bus_type,total_gwp_ll,totalgwp_keybrok_agency_ll,totalgwp_pvt_car_ll,totalgwp_pvtcar1plus1_ll,totalgwp_satp_ll,totalgwp_tractor_ll,total_gwp_ul,totalgwp_keybrok_agency_ul,totalgwp_pvt_car_ul,totalgwp_pvtcar1plus1_ul,totalgwp_satp_ul,totalgwp_tractor_ul
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,21.00%,PB1,"PB-02, PB-03, PB-04, PB-05, PB-06, PB-07, PB-11, PB-12, PB-13, PB-14, PB-15, PB-16, PB-17, PB-18, PB-19, PB-20, PB-21, PB-22, PB-23, PB-24, PB-27, PB-28, PB-29, PB-30, PB-31, PB-32, PB-34, PB-35, PB-36, PB-38, PB-39, PB-40, PB-41, PB-42, PB-44, PB-45, PB-46, PB-47, PB-48, PB-49, PB-50, PB-51, PB-52, PB-53, PB-54, PB-56, PB-57, PB-58, PB-59, PB-60, PB-61, PB-62, PB-63, PB-64, PB-66, PB-68, PB-69, PB-70, PB-71, PB-72, PB-73, PB-74, PB-75, PB-76, PB-77, PB-78, PB-79, PB-80, PB-81, PB-82, PB-83, PB-84, PB-85, PB-86, PB-87, PB-88, PB-89, PB-99",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,40.00%,PB2,"PB-08, PB-09, PB-10, PB-25, PB-26, PB-33, PB-37, PB-43, PB-55, PB-67, PB-90, PB-91",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,10.00%,RJ17,RJ-07,0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,12.00%,RJ18,"RJ-14, RJ-41, RJ-45, RJ-47",0.0,1000000000.0,1001,1501,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,11.00%,RJ19,"RJ-19, RJ-43",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,35.00%,MH2,"MH-12, MH-42, MH-14",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,19.00%,MH3,"MH-07, MH-08, MH-09, MH-10, MH-11, MH-15, MH-31, MH-40, MH-41, MH-49, MH-50, MH-51",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,8.00%,MH4,"MH-13, MH-16, MH-17, MH-18, MH-19, MH-20, MH-21, MH-22, MH-23, MH-24, MH-25, MH-26, MH-27, MH-32, MH-33, MH-34, MH-35, MH-36, MH-39, MH-44, MH-45, MH-52",0.0,1000000000.0,1501,100000,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,4.00%,TN1,"TN-01, TN-02, TN-03, TN-04, TN-05, TN-06, TN-07, TN-09, TN-10, TN-11, TN-12, TN-13, TN-14, TN-18, TN-19, TN-20, TN-21, TN-22, TN-85, TN-87, TN-08",0.0,1000000000.0,1501,100000,GWP,ANY,Petrol,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,27.00%,TL1,"AP-09, AP-10, AP-11, AP-12, AP-13, AP-14, TS-09, TS-10, TS-11, TS-12, TS-13, TS-14, TS-15, TG-09, TG-10, TG-11, TG-12, TG-13, TG-14, TG-15",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,10.00%,TL2,"AP-01, AP-15, AP-20, AP-23, AP-25, AP-28, TS-01, TS-02, TS-04, TS-06, TS-07, TS-08, TS-16, TS-17, TS-18, TS-19, TS-20, TS-21, TS-22, TS-23, TS-24, TS-25, TS-26, TS-27, TS-28, TS-29, TS-30, TS-31, TS-32, TS-33, TS-34, TS-35, TS-36, TG-37, TG-38, TG-01, TG-02, TG-04, TG-06, TG-07, TG-08, TG-16, TG-17, TG-18, TG-19, TG-20, TG-21, TG-22, TG-23, TG-24, TG-25, TG-26, TG-27, TG-28, TG-29, TG-30, TG-31, TG-32, TG-33, TG-34, TG-35, TG-36, TS-37, TS-38",0.0,1000000000.0,1001,1501,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
